id,menu,category,name,description,price
1,Brunch,Drink It,Bottomless Mimosas,,10
2,Brunch,Drink It,Chef Crafted Heirloom Infused Bloody Mary,,7
3,Brunch,Drink It,ManMosa,,7
4,Brunch,Drink It,Bartender’s Choice Shot,,5
5,Brunch,Start It,Whiskey Maple Donuts,Housemade donuts - crown maple syrup - grand marníer syrup.,4
6,Brunch,Start It,Chicken & Waffle Bites,Pork Belly waffle - fried chicken bites - crown maple syrup.,6
7,Brunch,Pick It Up,Green Eggs and Lamb,Croissant - fried egg - gyro - heirloom tomato - pesto goat cheese.,9
8,Brunch,Pick It Up,Nacho Burger,1/2lb Burger - chorizo - green chili - pepperjack mornay - black bean - fresh jalepeno.,12
9,Brunch,Pick It Up,Hangover Cure,1/2lb Burger - fried egg - house cured bacon - cheddar cheese - Crown maple peanut butter.,11
10,Brunch,Lighten Up,California Benedict,Croissant - 2 poached eggs - spinach - heirloom tomato - avocado - pepperjack mornay.,9
11,Brunch,Fork It,Smoked Brisket Hash,House smoked brisket - peppers & onions - over easy egg - fried onions.,9
12,Brunch,Fork It,Pork Belly Waffle,Pork belly stuffed Belgian waggle - grand marníer maple syrup - whipped cream.,8
13,Brunch,Fork It,Red Velvet Pancake,Three red velvet pancakes topped with maple syrup and whipped cream.,8
14,Brunch,Fork It,Breakfast Burrito,Chorízo - 3 eggs - black beans - jalapenos - roasted potatoes - chipotle wrap - green chili - melaguta creme fresche.,10
15,Brunch,Fork It,Salmon Migas,Chooped salmon - caramelized onion - corn tortilla - scrambled eggs - goat cheese - green chili.,10
16,Brunch,Fork It,Memphis Benedict,Croíssant - slow smoked pork - caramelized onion - poached eggs - pepperjack mornay.,9
17,Brunch,Sides,Croissant,,2
18,Brunch,Sides,Toast,,2
19,Brunch,Sides,Bacon,,3
20,Brunch,Sides,Two Eggs,,3
21,Brunch,Sides,Roasters,,3
22,Brunch,Sides,Sweet Puffs,,3
23,Regular,Shared Bites,Fried Bison Ravioli,"Packed with bison and herbs, served with our Heirloom tomato marinara.",10
24,Regular,Shared Bites,Greek Nachos,"Flash fried pita bread, hummus, gyro meat drizzled with a red pepper aioli and riata sauce.",7.5
25,Regular,Shared Bites,Hot Wings,"Chose one of our ""Award Winning"" sauces: BBQ, Original, Chipotle, Sriracha, Spicy BBQ or Melagueta.",8
26,Regular,Shared Bites,Green Chile Hummus,Black bean & Green Chili Hummus with flatbread and veggies.,7.5
27,Regular,Shared Bites,Urban House Cut Fries or Sweet Potato Puffs,House Fries or Sweet Potato Puffs,3.5
28,Regular,Shared Bites,Ghost Fries or Ghost Puffs,,4.5
29,Regular,Shared Bites,Truffle Fries or Truffle Puffs,,5.5
30,Regular,Shared Bites,Butch Fries (truffled ghost),,5.5
31,Regular,Shared Bites,Roasted Artichoke & Spinach Dip,"Roasted artichoke hearts, fresh cut spinach with Asiago cheese, served with flatbread and veggies.",8.5
32,Regular,Dinner Entrees,African Chicken & Waffles,"Our signature fried African Chicken breast with a stuffed pork belly waffle, topped with a Crown Royal Maple gravy and served with creamed spinach.",15
33,Regular,Dinner Entrees,Barnyard Mac & Cheese,Chef prepared Mac & Cheeses with your choice of green chili or bison red chile and house cured bacon.,11 (add Grilled Chicken +$3) 
34,Regular,Dinner Entrees,Citrus Blackened Mahi Mahi,"Blackened Mahi Mahi, served with caramelized onion basmati rice, citrus-bacon gastrique and chef veggies.",16
35,Regular,Dinner Entrees,Tri Pepper Sage Pork Medallions,Boneless Pork Tenderloin over tri-pepper linguini in a red pepper and artichoke pork veloute.,16
36,Regular,Salads,Heirloom Salad,"Heirloom tomatoes, fresh basil, mozzarella and Arcadian greens with a balsamic vinaigrette.",10
37,Regular,Salads,Summer Salad,"Arcadian greens, candied pecans, dried cranberries, goat cheese, tomatoes and croutons with a blueberry honey balsamic vinaigrette.",10
38,Regular,Salads,Roman Wedge,"Romaine, chef prepared Caesar dressing, house cured bacon, asiago and homemade croutons.",9
39,Regular,Blake Street Bowls,Jimmy's Jambalaya,"Old family recipe with Crawfish, Chicken, Sausage Jambalaya served with Basmati rice and flatbread.",9.5
