id,menu,category,name,description,price
1,Brunch,Drink It,Bottomless Mimosas,,10
2,Brunch,Drink It,Chef Crafted Heirloom Infused Bloody Mary,,7
3,Brunch,Drink It,ManMosa,,7
4,Brunch,Drink It,Bartender’s Choice Shot,,5
5,Brunch,Start It,Whiskey Maple Donuts,Housemade donuts - crown maple syrup - grand marníer syrup.,4
6,Brunch,Start It,Chicken & Waffle Bites,Pork Belly waffle - fried chicken bites - crown maple syrup.,6
7,Brunch,Pick It Up,Green Eggs and Lamb,Croissant - fried egg - gyro - heirloom tomato - pesto goat cheese.,9
8,Brunch,Pick It Up,Nacho Burger,1/2lb Burger - chorizo - green chili - pepperjack mornay - black bean - fresh jalepeno.,12
9,Brunch,Pick It Up,Hangover Cure,1/2lb Burger - fried egg - house cured bacon - cheddar cheese - Crown maple peanut butter.,11
,,,,,
,Regular,Shared Bites,Fried Bison Ravioli,"Packed with bison and herbs, served with our Heirloom tomato marinara.",10
,Regular,Shared Bites,Greek Nachos,"Flash fried pita bread, hummus, gyro meat drizzled with a red pepper aioli and riata sauce.",7.50
,Regular,Shared Bites,Hot Wings,"Chose one of our ""Award Winning"" sauces: BBQ, Original, Chipotle, Sriracha, Spicy BBQ or Melagueta.",8
,Regular,Shared Bites,Green Chile Hummus,Black bean & Green Chili Hummus with flatbread and veggies.,7.50
,Regular,Shared Bites,Urban House Cut Fries or Sweet Potato Puffs,House Fries or Sweet Potato Puffs,3.50
,Regular,Shared Bites,,Ghost Fries or Ghost Puffs,4.50
,Regular,Shared Bites,,Truffle Fries or Truffle Puffs,5.50
,Regular,Shared Bites,,Butch Fries (truffled ghost),5.50
,Regular,Shared Bites,Roasted Artichoke & Spinach Dip,"Roasted artichoke hearts, fresh cut spinach with Asiago cheese, served with flatbread and veggies.",8.50
,Regular,Dinner Entrees,African Chicken & Waffles,"Our signature fried African Chicken breast with a stuffed pork belly waffle, topped with a Crown Royal Maple gravy and served with creamed spinach.",15
,Regular,Dinner Entrees,Barnyard Mac & Cheese,Chef prepared Mac & Cheeses with your choice of green chili or bison red chile and house cured bacon.,11 (add Grilled Chicken +$3) 
,Regular,Dinner Entrees,Citrus Blackened Mahi Mahi,"Blackened Mahi Mahi, served with caramelized onion basmati rice, citrus-bacon gastrique and chef veggies.",16
,Regular,Dinner Entrees,Tri Pepper Sage Pork Medallions,Boneless Pork Tenderloin over tri-pepper linguini in a red pepper and artichoke pork veloute.,16
,Regular,Salads,Heirloom Salad,"Heirloom tomatoes, fresh basil, mozzarella and Arcadian greens with a balsamic vinaigrette.",10
,Regular,Salads,Summer Salad,"Arcadian greens, candied pecans, dried cranberries, goat cheese, tomatoes and croutons with a blueberry honey balsamic vinaigrette.",10
,Regular,Salads,Roman Wedge,"Romaine, chef prepared Caesar dressing, house cured bacon, asiago and homemade croutons.",9
,Regular,Blake Street Bowls,Jimmy's Jambalaya,"Old family recipe with Crawfish, Chicken, Sausage Jambalaya served with Basmati rice and flatbread.",9.50
,Regular,Blake Street Bowls,Slow Smoked Pork Green Chili,Chef prepared green chili topped with our slow smoked pulled pork & cheddar jack cheese.,Cup $4.50 / Bowl $6.50
,Regular,Blake Street Bowls,Kickass Bison Chili,Chef prepared chili loades with bison then topped with cheddar jack cheese.,Cup $4.50 / Bowl $6.50
,Regular,Blake Street Bowls,Soup of the Day,Chef prepared soup.,Cup $4.50 / Bowl $6.50
,Regular,Blake Street Bowls,The Soup Combo,BLT Flatbread & a cup of soup or chili.,9
,Regular,Smoke House,Sexy Smoked Sow,"In-house slow smoked pork, drunken onions, wickles pickles, smoky slaw with our tangy slathering sauce on a toasted roll.",9
,Regular,Smoke House,Killer Hickory Brisket,"In-house slow smoked brisket, drunken onions, wickles pickles, smoky slaw, served with our tangy slathering sauce on a toasted roll.",10
,Regular,Smoke House,The Fatal Attraction,"In-house slow smoked pork and brisket, drunken onions, wickles pickles, served with our tangy slathering sauce on a toasted roll.",11
,Regular,Chicken Sandwiches,African Chicken Sandwhich,"Spicy crispy chicken topped with lettuce, tomato, red onion, hot honey sauce and a melagueta creme.",9.50
